k,rep,nmin,rmse_mle,rmse_oracle,rmse_npeb,rmse_adamix,oracle_runtime_sec,npeb_runtime_sec
100,21,100,0.0676825315931607,0.049622513508434246,0.06689102831243811,0.06764007948632711,0.009033918380737305,0.033284902572631836
100,22,100,0.0781754369171856,0.07116774765823662,0.07773971778039739,0.07820344542422798,0.008981943130493164,0.03373217582702637
100,23,100,0.07807152635281128,0.0534409262219543,0.0773536832022799,0.07783510644370828,0.009254932403564453,0.034249305725097656
100,24,100,0.08362024901052105,0.05584911395311751,0.082260687658224,0.08304432036775841,0.009308099746704102,0.0337071418762207
100,25,100,0.06908832382820361,0.047882045341340086,0.06903096408439546,0.06872955329054298,0.009015083312988281,0.03415393829345703
100,26,100,0.0807735266341979,0.048470027607657784,0.08077150111056691,0.08053549065000089,0.009029865264892578,0.03372502326965332
100,27,100,0.06443454306904113,0.04187867489022751,0.062284978775677666,0.06436372926208042,0.009838104248046875,0.03527998924255371
100,28,100,0.06900588410579808,0.043438106940423334,0.07046811150591609,0.06846750593400265,0.00908517837524414,0.03497791290283203
100,29,100,0.07261632688124857,0.0494996776728403,0.07163998657200626,0.07214842376011192,0.010771036148071289,0.03501701354980469
100,30,100,0.06624857476721356,0.04991450859295595,0.06803392992196908,0.06551707840082152,0.009958028793334961,0.03582501411437988
100,31,100,0.08854254303319992,0.057169119362878974,0.0868179603186301,0.08862364314868469,0.010002851486206055,0.03548002243041992
100,32,100,0.06636371104293032,0.03875761249079143,0.06306378423477046,0.06555529521171723,0.010540962219238281,0.0358278751373291
100,33,100,0.05988741227471728,0.03975250074616402,0.056784326269846516,0.06010973063323784,0.00952601432800293,0.0357670783996582
100,34,100,0.07460610939019939,0.04529563996215386,0.07302378715864931,0.07428759173342757,0.011733055114746094,0.03730297088623047
100,35,100,0.08038732319643081,0.044274500764031055,0.07947085322194195,0.07866550111101661,0.009176015853881836,0.035651206970214844
100,36,100,0.06428542083731206,0.048198951674579354,0.06289681458921552,0.06447918128112204,0.010563850402832031,0.03515315055847168
100,37,100,0.07199187570294203,0.04946845151853898,0.07027952121732048,0.07186090389315646,0.010220050811767578,0.036357879638671875
100,38,100,0.0742896753560769,0.047023451869783635,0.07370463265764621,0.07360082770630541,0.010561227798461914,0.035385847091674805
100,39,100,0.06836668849851837,0.04350068021953179,0.06823431025762662,0.06799998353003178,0.009662866592407227,0.03587603569030762
100,40,100,0.06983144032231264,0.050002862235349624,0.06838956354363775,0.0693859960340906,0.010233879089355469,0.035711050033569336
100,41,100,0.08497893811413612,0.05775095915207855,0.08504800705067778,0.08461978448863511,0.009859085083007812,0.03620791435241699
100,42,100,0.07973270715023303,0.06146075513598668,0.0769073412358259,0.0794360328391542,0.011226892471313477,0.03661799430847168
100,43,100,0.07669243478227501,0.05169577205055939,0.07589530060416032,0.07697934067794951,0.009901046752929688,0.03656888008117676
100,44,100,0.06947514223043307,0.047978250867569926,0.06659428103361152,0.06909364141482408,0.009502887725830078,0.03621506690979004
100,45,100,0.06764911799250449,0.04636469198085409,0.06541973289851177,0.0675844723464467,0.009829044342041016,0.0367586612701416
100,46,100,0.07843097241051186,0.05673911668925952,0.07618010317270829,0.07851657413314177,0.010789155960083008,0.03779292106628418
100,47,100,0.07104167082142691,0.04703253358674404,0.06778355863388097,0.07113276996143203,0.009989023208618164,0.03696298599243164
100,48,100,0.0769815052134398,0.059039787198693516,0.07248399388542029,0.07695781018081153,0.011744022369384766,0.038462162017822266
100,49,100,0.08375862698036426,0.05596776664277401,0.07971250052583649,0.08320663407230242,0.011165857315063477,0.036872148513793945
