k,rep,rmse_adamix,rmse_oracle,rmse_npeb,rmse_soloff,npeb_runtime_sec,soloff_runtime_sec,n_mean,n_min,n_max
400,22,0.085274376912885,0.05023367987878751,0.07558468136995868,0.0818248248840738,0.2762928009033203,0.2444911003112793,778.77,400,1200
400,23,0.09118350785542978,0.04820530120139138,0.08176314592386599,0.08517198156220099,0.2835521697998047,0.25659799575805664,800.56,402,1199
400,24,0.08518379333788853,0.04666258945616866,0.07607679729546017,0.07905997719927074,0.2866671085357666,0.28115200996398926,812.35,401,1197
400,25,0.08698072186911054,0.047650117688798274,0.07895984565460777,0.08461860934365353,0.3061177730560303,0.22684526443481445,811.92,400,1197
400,26,0.09212510588753632,0.04308430878087923,0.0836985290471226,0.0891390166468446,0.2877011299133301,0.274338960647583,800.5125,400,1200
400,27,0.08804135104641421,0.04675734024020535,0.07847855656435244,0.08414081846614539,0.2769489288330078,0.24112486839294434,810.1,401,1199
400,28,0.08577900242196919,0.04585436607054217,0.07777721574232538,0.08295745138563292,0.2729780673980713,0.22806191444396973,801.8325,401,1200
400,29,0.08636773607310294,0.04994670031089139,0.07672356235690975,0.08103697149674176,0.2865431308746338,0.27410411834716797,813.32,400,1199
400,30,0.09388762759418097,0.050063035551792916,0.08538929144370977,0.08980342752317204,0.2736330032348633,0.2184309959411621,793.8475,400,1196
400,31,0.08770962663373362,0.04758627996504751,0.08071282512237782,0.08481639949727038,0.27904820442199707,0.22909092903137207,814.02,405,1195
400,32,0.0895799261271619,0.05050380336705405,0.08025976086261667,0.0853434562660099,0.27516913414001465,0.242706298828125,809.77,402,1199
400,33,0.08590297572683078,0.04687255653819638,0.07601780501664755,0.07864427022297439,0.2789008617401123,0.21752595901489258,787.1975,400,1200
400,34,0.0876800434911577,0.04879323702424151,0.0812302412699926,0.0842089141299798,0.291032075881958,0.26092004776000977,788.0775,400,1200
400,35,0.0805465022696875,0.04827539564421178,0.07247511911050425,0.07570264874164032,0.27649998664855957,0.22899985313415527,806.355,401,1197
400,36,0.08893647360934316,0.05022346697477794,0.08328289871736724,0.08662687802634697,0.27368927001953125,0.2507960796356201,785.8925,400,1198
400,37,0.08574789013961125,0.045392704954960984,0.07898201652156939,0.08248282664849177,0.29370594024658203,0.31508803367614746,813.86,400,1200
400,38,0.08184238565928435,0.04170218933602315,0.07292734812854614,0.07706418681924207,0.27802109718322754,0.240037202835083,797.385,401,1200
400,39,0.09347505579845675,0.047780485761099965,0.08604739309342979,0.08968635866346149,0.273784875869751,0.2503621578216553,801.505,400,1196
400,40,0.08332373104215378,0.0414388297547428,0.07641680297685949,0.0771124330016601,0.2733449935913086,0.24869728088378906,795.8575,402,1200
400,41,0.0939156485653587,0.05429689806268384,0.08504403413558097,0.08554708101655198,0.2721669673919678,0.2437889575958252,794.2725,407,1199
400,42,0.08758236372618064,0.045106097067642084,0.07578295291955603,0.08103141851967764,0.27430295944213867,0.27411699295043945,803.275,401,1200
400,43,0.08697946091045942,0.045040888356301746,0.07809981626367626,0.08342390297152735,0.27161383628845215,0.26851487159729004,805.2325,400,1197
400,44,0.0875574340063153,0.046424740957021274,0.07810863635752918,0.08346950781087346,0.2664477825164795,0.24213314056396484,793.3225,400,1200
400,45,0.08706000509713566,0.05035088776497262,0.07735911632631254,0.0837930295148646,0.2803001403808594,0.23293709754943848,797.01,406,1199
400,46,0.097745670593437,0.048383117686616586,0.08810643189976226,0.09353716308008865,0.2732429504394531,0.26889777183532715,799.3675,400,1199
400,47,0.09264204352537068,0.05230312822064116,0.08092687380108496,0.08809981288789971,0.2675766944885254,0.2795100212097168,784.9775,401,1199
400,48,0.08709626135711349,0.04630091631367067,0.07827994114429351,0.08166649527369473,0.2681872844696045,0.23393607139587402,798.895,402,1200
400,49,0.08860376107328227,0.04803753985203471,0.08083635467903744,0.08753838463970989,0.2722618579864502,0.26015329360961914,776.79,401,1199
